Des-I,Emp-I,Des-O,Emp-O,MES,DIANOM,TIPOVUELO,OPERA,SIGLADES,high_season,period_day
SCTE,SKU,SCTE,SKU,2,1,0,Sky Airline,Puerto Montt,0,0
SPJC,LAN,SPJC,LPE,2,1,1,Grupo LATAM,Lima,0,0
SCQP,SKU,SCQP,SKU,3,0,0,Sky Airline,Temuco,1,0
SCTE,SKU,SCTE,SKU,3,1,0,Sky Airline,Puerto Montt,1,1
MPTO,CMP,MPTO,CMP,2,0,1,Copa Air,Ciudad de Panama,1,0
SCDA,SKU,SCDA,SKU,2,0,0,Sky Airline,Iquique,0,0
SABE,LAN,SABE,LAN,2,0,1,Grupo LATAM,Buenos Aires,1,1
SCTE,LAN,SCTE,LXP,2,0,0,Grupo LATAM,Puerto Montt,1,1
MMMX,AMX,MMMX,AMX,3,0,1,Aeromexico,Ciudad de Mexico,0,0
SCTE,LAN,SCTE,LXP,2,0,0,Grupo LATAM,Puerto Montt,1,0
other,TAM,other,TAM,3,0,1,Grupo LATAM,Rosario,0,1
SBGL,TAM,SBGL,TAM,2,1,1,Grupo LATAM,Rio de Janeiro,0,0
SPJC,LAN,SPJC,LAN,3,0,1,Grupo LATAM,Lima,0,0
SCVD,LAN,SCVD,LXP,2,1,0,Grupo LATAM,Valdivia,0,0
SCIE,LAN,SCIE,LXP,3,0,0,Grupo LATAM,Concepcion,0,0
SCFA,LAN,SCFA,LAN,3,0,0,Grupo LATAM,Antofagasta,1,0
SUMU,SKU,SUMU,SKU,1,0,1,Sky Airline,Montevideo,0,1
SCFA,LAN,SCFA,LXP,2,0,0,Grupo LATAM,Antofagasta,0,0
SCSE,JAT,SCSE,JAT,3,0,0,JetSmart SPA,La Serena,1,0
SCTE,SKU,SCTE,SKU,1,0,0,Sky Airline,Puerto Montt,0,1
KJFK,LAN,KJFK,LAN,2,0,1,Grupo LATAM,Nueva York,0,0
KMIA,AAL,KMIA,AAL,2,1,1,American Airlines,Miami,0,0
SAEZ,LAN,SAEZ,LAN,2,0,1,Grupo LATAM,Buenos Aires,0,0
SCDA,LAN,SCDA,LAN,1,1,0,Grupo LATAM,Iquique,0,0
SCCI,LAN,SCCI,LXP,2,1,0,Grupo LATAM,Punta Arenas,1,0
LFPG,AFR,LFPG,AFR,2,0,1,Air France,Paris,1,0
KDFW,AAL,KDFW,AAL,3,0,1,American Airlines,Dallas,0,0
SCFA,LAN,SCFA,LXP,1,0,0,Grupo LATAM,Antofagasta,0,0
SBGR,ONE,SBGR,ONE,2,1,1,Oceanair Linhas Aereas,Sao Paulo,1,0
MPTO,CMP,MPTO,CMP,2,0,1,Copa Air,Ciudad de Panama,1,1
SCFA,LAN,SCFA,LXP,1,1,0,Grupo LATAM,Antofagasta,0,0
SAME,LAN,SAME,LAN,1,1,1,Grupo LATAM,Mendoza,0,0
SAME,LAN,SAME,LAN,2,0,1,Grupo LATAM,Mendoza,1,0
KJFK,LAN,KJFK,LAN,1,1,1,Grupo LATAM,Nueva York,0,0
SBGR,TAM,SBGR,TAM,3,0,1,Grupo LATAM,Sao Paulo,0,0
SCCI,SKU,SCCI,SKU,1,1,0,Sky Airline,Punta Arenas,0,1
SBGR,LAN,SBGR,LAN,3,1,1,Grupo LATAM,Sao Paulo,0,0
SCIE,SKU,SCIE,SKU,1,1,0,Sky Airline,Concepcion,0,1
SCIE,SKU,SCIE,SKU,3,0,0,Sky Airline,Concepcion,0,0
SCFA,JAT,SCFA,JAT,3,0,0,JetSmart SPA,Antofagasta,1,0
SCAT,LAN,SCAT,LAN,1,1,0,Grupo LATAM,Copiapo,0,0
SCQP,LAN,SCQP,LAN,3,1,0,Grupo LATAM,Temuco,0,0
SABE,LAN,SABE,DSM,3,1,1,Grupo LATAM,Buenos Aires,0,0
KIAH,UAL,KIAH,UAL,2,0,1,United Airlines,Houston,0,0
SPJC,LAW,SPJC,JMR,3,1,1,Latin American Wings,Lima,0,1
SCSE,SKU,SCSE,SKU,1,0,0,Sky Airline,La Serena,0,1
SBGL,TAM,SBGL,TAM,3,0,1,Grupo LATAM,Rio de Janeiro,0,0
SCFA,LAN,SCFA,LAN,2,0,0,Grupo LATAM,Antofagasta,1,1
SCSE,SKU,SCSE,SKU,2,0,0,Sky Airline,La Serena,1,0
SLLP,LAN,SLLP,LAN,3,1,1,Grupo LATAM,La Paz,0,1
SCAR,LAN,SCAR,LAN,1,0,0,Grupo LATAM,Arica,0,0
SLLP,LAN,SLLP,LAN,3,1,1,Grupo LATAM,La Paz,0,0
SBGR,TAM,SBGR,TAM,2,1,1,Grupo LATAM,Sao Paulo,1,1
LEMD,IBE,LEMD,IBE,3,0,1,Iberia,Madrid,0,1
SAME,SKU,SAME,SKU,3,0,1,Sky Airline,Mendoza,1,0
SCFA,SKU,SCFA,SKU,2,1,0,Sky Airline,Antofagasta,1,1
SCSE,LAN,SCSE,LXP,2,1,0,Grupo LATAM,La Serena,1,1
SPJC,LAN,SPJC,LAN,2,1,1,Grupo LATAM,Lima,0,0
SPJC,LAN,SPJC,LPE,2,1,1,Grupo LATAM,Lima,1,1
SCIE,LAN,SCIE,LXP,2,1,0,Grupo LATAM,Concepcion,0,1
SCIE,JMR,SCIE,JMR,1,0,0,Latin American Wings,Concepcion,0,1
MMMX,AMX,MMMX,AMX,2,0,1,Aeromexico,Ciudad de Mexico,0,0
SCCF,SKU,SCCF,SKU,2,1,0,Sky Airline,Calama,1,0
SCSE,SKU,SCSE,SKU,3,0,0,Sky Airline,La Serena,0,1
LEMD,IBE,LEMD,IBE,2,1,1,Iberia,Madrid,1,0
SCIE,LAN,SCIE,LXP,1,0,0,Grupo LATAM,Concepcion,0,0
SBGR,TAM,SBGR,TAM,2,0,1,Grupo LATAM,Sao Paulo,1,0
SCIE,LAN,SCIE,LXP,3,0,0,Grupo LATAM,Concepcion,1,0
SCIE,LAN,SCIE,LXP,2,1,0,Grupo LATAM,Concepcion,0,1
SCAR,SKU,SCAR,SKU,2,0,0,Sky Airline,Arica,0,1
SPJC,LAN,SPJC,LAN,1,1,1,Grupo LATAM,Lima,0,0
SCIE,SKU,SCIE,SKU,3,0,0,Sky Airline,Concepcion,0,0
SAEZ,SKU,SAEZ,SKU,2,0,1,Sky Airline,Buenos Aires,1,1
SAME,SKU,SAME,SKU,2,1,1,Sky Airline,Mendoza,0,0
SABE,other,SABE,other,1,0,1,other,Buenos Aires,0,0
SPJC,LAN,SPJC,LAN,3,0,1,Grupo LATAM,Lima,0,0
SCIE,SKU,SCIE,SKU,3,0,0,Sky Airline,Concepcion,0,0
SAEZ,SKU,SAEZ,SKU,1,1,1,Sky Airline,Buenos Aires,0,1
SCIE,LAN,SCIE,LXP,2,0,0,Grupo LATAM,Concepcion,0,1
SBGL,TAM,SBGL,TAM,1,0,1,Grupo LATAM,Rio de Janeiro,0,0
SBGL,TAM,SBGL,TAM,2,1,1,Grupo LATAM,Rio de Janeiro,0,1
SABE,ARG,SABE,ARG,2,1,1,Aerolineas Argentinas,Buenos Aires,0,1
SBGR,GLO,SBGR,GLO,2,0,1,Gol Trans,Sao Paulo,0,0
SCCF,LAN,SCCF,LXP,2,0,0,Grupo LATAM,Calama,0,0
SKBO,AVA,SKBO,AVA,3,0,1,Avianca,Bogota,0,1
CYYZ,ACA,CYYZ,ACA,3,1,1,Air Canada,Toronto,0,0
SKBO,LAN,SKBO,LAN,2,0,1,Grupo LATAM,Bogota,0,0
SCDA,LAN,SCDA,LAN,2,0,0,Grupo LATAM,Iquique,1,0
SCFA,LAN,SCFA,LXP,2,0,0,Grupo LATAM,Antofagasta,1,0
SLVR,LAN,SLVR,LAN,1,0,1,Grupo LATAM,Santa Cruz,0,1
SCFA,LAN,SCFA,LXP,2,1,0,Grupo LATAM,Antofagasta,0,0
SCQP,SKU,SCQP,SKU,3,1,0,Sky Airline,Temuco,1,0
SCTE,LAN,SCTE,LAN,3,0,0,Grupo LATAM,Puerto Montt,0,0
SUMU,SKU,SUMU,SKU,2,0,1,Sky Airline,Montevideo,1,1
SCFA,SKU,SCFA,SKU,2,0,0,Sky Airline,Antofagasta,1,1
SCFA,LAN,SCFA,LAN,2,1,0,Grupo LATAM,Antofagasta,1,1
SCCF,LAN,SCCF,LXP,2,0,0,Grupo LATAM,Calama,1,0
SCFA,SKU,SCFA,SKU,2,0,0,Sky Airline,Antofagasta,0,0
SPJC,LAW,SPJC,JMR,2,0,1,Latin American Wings,Lima,0,0
SCDA,LAN,SCDA,LAN,2,0,0,Grupo LATAM,Iquique,1,0
SCCF,LAN,SCCF,LXP,3,1,0,Grupo LATAM,Calama,0,0
SBGR,LAN,SBGR,LAN,2,1,1,Grupo LATAM,Sao Paulo,1,1
SUMU,SKU,SUMU,SKU,3,0,1,Sky Airline,Montevideo,1,1
SCIE,LAN,SCIE,LXP,2,1,0,Grupo LATAM,Concepcion,1,0
SCCF,LAN,SCCF,LAN,2,0,0,Grupo LATAM,Calama,0,0
SCQP,JAT,SCQP,JAT,3,0,0,JetSmart SPA,Temuco,0,1
SCFA,SKU,SCFA,SKU,1,1,0,Sky Airline,Antofagasta,0,1
LEMD,LAN,LEMD,LAN,2,1,1,Grupo LATAM,Madrid,1,0
SCQP,SKU,SCQP,SKU,2,0,0,Sky Airline,Temuco,0,1
SCFA,LAN,SCFA,LAN,3,1,0,Grupo LATAM,Antofagasta,0,0
SCFA,SKU,SCFA,SKU,2,0,0,Sky Airline,Antofagasta,1,1
SCIP,LAN,SCIP,LAN,2,0,0,Grupo LATAM,Isla de Pascua,1,1
SLLP,LAN,SLLP,LAN,2,1,1,Grupo LATAM,La Paz,1,1
SCAR,LAN,SCAR,LXP,2,0,0,Grupo LATAM,Arica,0,0
SCCI,LAN,SCCI,LXP,2,1,0,Grupo LATAM,Punta Arenas,1,0
KIAH,UAL,KIAH,UAL,3,0,1,United Airlines,Houston,1,0
SCTE,SKU,SCTE,SKU,3,0,0,Sky Airline,Puerto Montt,0,0
MPTO,CMP,MPTO,CMP,2,1,1,Copa Air,Ciudad de Panama,1,1
SCVD,LAN,SCVD,LXP,3,1,0,Grupo LATAM,Valdivia,0,0
SCIE,SKU,SCIE,SKU,3,0,0,Sky Airline,Concepcion,0,1
SCIE,SKU,SCIE,SKU,2,1,0,Sky Airline,Concepcion,0,0
SCTE,LAN,SCTE,LXP,2,1,0,Grupo LATAM,Puerto Montt,1,1
SCDA,SKU,SCDA,SKU,2,0,0,Sky Airline,Iquique,0,1
SCBA,LAN,SCBA,LXP,3,1,0,Grupo LATAM,Balmaceda,0,1
SBGL,TAM,SBGL,TAM,2,1,1,Grupo LATAM,Rio de Janeiro,0,1
SCSE,LAN,SCSE,LAN,2,1,0,Grupo LATAM,La Serena,0,0
LEMD,LAN,LEMD,LAN,2,1,1,Grupo LATAM,Madrid,1,0
SCIE,LAW,SCIE,JMR,3,1,0,Latin American Wings,Concepcion,0,0
KIAH,UAL,KIAH,UAL,3,0,1,United Airlines,Houston,0,0
SCAR,LAN,SCAR,LXP,2,1,0,Grupo LATAM,Arica,0,0
SCCI,LAN,SCCI,LXP,2,0,0,Grupo LATAM,Punta Arenas,1,1
SCFA,LAN,SCFA,LAN,2,1,0,Grupo LATAM,Antofagasta,1,0
SPJC,SKU,SPJC,SKU,1,1,1,Sky Airline,Lima,0,0
SCAR,SKU,SCAR,SKU,3,0,0,Sky Airline,Arica,0,1
SPJC,LAN,SPJC,LPE,1,0,1,Grupo LATAM,Lima,0,0
SCAR,SKU,SCAR,SKU,3,0,0,Sky Airline,Arica,0,1
SCFA,LAN,SCFA,LXP,3,1,0,Grupo LATAM,Antofagasta,0,0
MPTO,CMP,MPTO,CMP,3,0,1,Copa Air,Ciudad de Panama,0,0
SAEZ,LAN,SAEZ,LAN,3,0,1,Grupo LATAM,Buenos Aires,0,0
SCSE,JAT,SCSE,JAT,3,0,0,JetSmart SPA,La Serena,0,0
SAEZ,LAN,SAEZ,LAN,1,0,1,Grupo LATAM,Buenos Aires,0,0
SCCF,LAN,SCCF,LXP,1,1,0,Grupo LATAM,Calama,1,0
MMMX,AMX,MMMX,AMX,3,0,1,Aeromexico,Ciudad de Mexico,1,0
SCFA,LAN,SCFA,LAN,1,1,0,Grupo LATAM,Antofagasta,0,1
SCDA,LAN,SCDA,LAN,1,0,0,Grupo LATAM,Iquique,0,0
SCAR,LAN,SCAR,LXP,3,1,0,Grupo LATAM,Arica,0,0
MMMX,AMX,MMMX,AMX,1,1,1,Aeromexico,Ciudad de Mexico,0,0
SCTE,LAW,SCTE,JMR,2,0,0,Latin American Wings,Puerto Montt,1,0
SABE,LAN,SABE,DSM,2,0,1,Grupo LATAM,Buenos Aires,0,1
SABE,ARG,SABE,ARG,1,0,1,Aerolineas Argentinas,Buenos Aires,0,1
SKBO,LAN,SKBO,LAN,3,1,1,Grupo LATAM,Bogota,0,0
SBGR,TAM,SBGR,TAM,2,0,1,Grupo LATAM,Sao Paulo,0,0
SAEZ,ARG,SAEZ,ARG,3,0,1,Aerolineas Argentinas,Buenos Aires,0,0
MMMX,LAN,MMMX,LAN,2,1,1,Grupo LATAM,Ciudad de Mexico,0,0
SCAR,SKU,SCAR,SKU,2,1,0,Sky Airline,Arica,0,0
SABE,ARG,SABE,ARG,3,0,1,Aerolineas Argentinas,Buenos Aires,0,1
SCTE,LAN,SCTE,LXP,3,0,0,Grupo LATAM,Puerto Montt,0,1
SAME,LAN,SAME,LAN,3,1,1,Grupo LATAM,Mendoza,1,0
KMIA,AAL,KMIA,AAL,1,1,1,American Airlines,Miami,0,0
SCDA,SKU,SCDA,SKU,2,0,0,Sky Airline,Iquique,1,0
SCFA,LAN,SCFA,LXP,3,0,0,Grupo LATAM,Antofagasta,0,0
LEMD,LAN,LEMD,LAN,3,1,1,Grupo LATAM,Madrid,0,0
SAEZ,LAN,SAEZ,LAN,3,1,1,Grupo LATAM,Buenos Aires,1,0
KIAH,UAL,KIAH,UAL,2,1,1,United Airlines,Houston,0,0
SCIE,JAT,SCIE,JAT,3,0,0,JetSmart SPA,Concepcion,1,1
LEMD,LAN,LEMD,LAN,2,0,1,Grupo LATAM,Madrid,1,0
SCSE,LAN,SCSE,LXP,3,0,0,Grupo LATAM,La Serena,0,0
SCAR,LAN,SCAR,LXP,3,1,0,Grupo LATAM,Arica,0,0
SCTE,LAN,SCTE,LXP,2,1,0,Grupo LATAM,Puerto Montt,1,0
SCFA,LAN,SCFA,LAN,2,1,0,Grupo LATAM,Antofagasta,0,1
SCFA,LAN,SCFA,LXP,3,0,0,Grupo LATAM,Antofagasta,0,0
SCFA,LAN,SCFA,LAN,3,1,0,Grupo LATAM,Antofagasta,0,0
SCIE,LAN,SCIE,LXP,3,1,0,Grupo LATAM,Concepcion,1,1
MPTO,CMP,MPTO,CMP,2,0,1,Copa Air,Ciudad de Panama,0,0
SPJC,LAN,SPJC,LPE,3,1,1,Grupo LATAM,Lima,0,1
KIAH,UAL,KIAH,UAL,1,0,1,United Airlines,Houston,0,0
SBGR,LAN,SBGR,LAN,1,0,1,Grupo LATAM,Sao Paulo,0,1
SABE,ARG,SABE,ARG,2,1,1,Aerolineas Argentinas,Buenos Aires,1,1
SCTE,LAN,SCTE,LXP,1,1,0,Grupo LATAM,Puerto Montt,0,1
SCCF,SKU,SCCF,SKU,2,1,0,Sky Airline,Calama,0,0
SCSE,LAN,SCSE,LXP,2,0,0,Grupo LATAM,La Serena,1,1
SCQP,LAN,SCQP,LAN,3,1,0,Grupo LATAM,Temuco,0,0
SCTE,LAN,SCTE,LXP,2,1,0,Grupo LATAM,Puerto Montt,1,0
SCFA,SKU,SCFA,SKU,3,1,0,Sky Airline,Antofagasta,0,1
SCCF,LAN,SCCF,LAN,3,1,0,Grupo LATAM,Calama,1,1
SCCI,LAN,SCCI,LAN,3,0,0,Grupo LATAM,Punta Arenas,0,0
SCBA,LAN,SCBA,LAN,1,0,0,Grupo LATAM,Balmaceda,0,0
KMIA,LAN,KMIA,LAN,2,1,1,Grupo LATAM,Miami,0,0
SCTE,LAN,SCTE,LAN,3,0,0,Grupo LATAM,Puerto Montt,0,0
SCAT,SKU,SCAT,SKU,2,1,0,Sky Airline,Copiapo,0,0
SUMU,LAN,SUMU,LAN,2,1,1,Grupo LATAM,Montevideo,0,0
SCTE,LAN,SCTE,LXP,2,0,0,Grupo LATAM,Puerto Montt,0,0
SPJC,LAN,SPJC,LAN,2,1,1,Grupo LATAM,Lima,0,1
SPJC,LAN,SPJC,LAN,1,0,1,Grupo LATAM,Lima,0,0
SCSE,LAN,SCSE,LXP,2,1,0,Grupo LATAM,La Serena,0,0
SABE,LAN,SABE,LAN,2,0,1,Grupo LATAM,Buenos Aires,0,0
SAME,LAN,SAME,LAN,3,1,1,Grupo LATAM,Mendoza,0,1
SBGR,GLO,SBGR,GLO,3,1,1,Gol Trans,Sao Paulo,0,0
SCDA,LAN,SCDA,LAN,2,1,0,Grupo LATAM,Iquique,0,0
SUMU,LAN,SUMU,LAN,3,0,1,Grupo LATAM,Montevideo,0,0
SCFA,LAN,SCFA,LAN,3,1,0,Grupo LATAM,Antofagasta,1,1
SCQP,LAN,SCQP,LXP,3,1,0,Grupo LATAM,Temuco,0,0
SPJC,AVA,SPJC,LRC,2,0,1,Avianca,Lima,0,1
SCSE,LAN,SCSE,LXP,2,0,0,Grupo LATAM,La Serena,0,1
SCCF,LAN,SCCF,LAN,1,0,0,Grupo LATAM,Calama,0,0
SCVD,LAN,SCVD,LXP,1,0,0,Grupo LATAM,Valdivia,0,0
SCVD,SKU,SCVD,SKU,3,1,0,Sky Airline,Valdivia,0,0
SCFA,SKU,SCFA,SKU,1,1,0,Sky Airline,Antofagasta,0,0
SCCF,LAN,SCCF,LXP,3,1,0,Grupo LATAM,Calama,0,0
SCIE,LAN,SCIE,LXP,2,0,0,Grupo LATAM,Concepcion,1,1
SBGL,TAM,SBGL,TAM,1,1,1,Grupo LATAM,Rio de Janeiro,0,0
SCAT,LAN,SCAT,LXP,3,1,0,Grupo LATAM,Copiapo,0,0
SPJC,LAN,SPJC,LPE,3,0,1,Grupo LATAM,Lima,0,0
SCQP,JAT,SCQP,JAT,3,0,0,JetSmart SPA,Temuco,0,0
SCDA,LAN,SCDA,LAN,3,0,0,Grupo LATAM,Iquique,1,0
SACO,SKU,SACO,SKU,2,1,1,Sky Airline,Cordoba,0,0
SUMU,LAN,SUMU,LAN,2,0,1,Grupo LATAM,Montevideo,1,0
LEMD,IBE,LEMD,IBE,2,1,1,Iberia,Madrid,0,1
SCSE,LAN,SCSE,LXP,3,1,0,Grupo LATAM,La Serena,1,0
SCCF,JAT,SCCF,JAT,3,0,0,JetSmart SPA,Calama,0,0
SACO,LAN,SACO,LAN,1,0,1,Grupo LATAM,Cordoba,0,1
SAME,LAW,SAME,JMR,2,0,1,Latin American Wings,Mendoza,1,0
KDFW,AAL,KDFW,AAL,3,0,1,American Airlines,Dallas,0,0
SBGR,LAN,SBGR,LAN,1,1,1,Grupo LATAM,Sao Paulo,0,1
MMMX,LAN,MMMX,LAN,2,0,1,Grupo LATAM,Ciudad de Mexico,0,0
SABE,LAN,SABE,LAN,2,1,1,Grupo LATAM,Buenos Aires,0,1
SCDA,LAN,SCDA,LAN,1,0,0,Grupo LATAM,Iquique,0,1
SCSE,LAN,SCSE,LXP,3,1,0,Grupo LATAM,La Serena,0,0
SKBO,LAN,SKBO,LAN,2,1,1,Grupo LATAM,Bogota,1,0
SCTE,SKU,SCTE,SKU,2,1,0,Sky Airline,Puerto Montt,0,1
SCFA,LAW,SCFA,JMR,3,1,0,Latin American Wings,Antofagasta,0,1
SAEZ,LAN,SAEZ,LAN,3,1,1,Grupo LATAM,Buenos Aires,0,0
SCAR,SKU,SCAR,SKU,2,0,0,Sky Airline,Arica,1,0
SCTE,SKU,SCTE,SKU,2,1,0,Sky Airline,Puerto Montt,0,1
SCAR,SKU,SCAR,SKU,3,0,0,Sky Airline,Arica,0,0
SCQP,LAN,SCQP,LXP,1,1,0,Grupo LATAM,Temuco,0,1
SBGL,TAM,SBGL,TAM,2,0,1,Grupo LATAM,Rio de Janeiro,0,0
other,LAN,other,DSM,3,0,1,Grupo LATAM,Neuquen,0,1
SCCF,JAT,SCCF,JAT,3,1,0,JetSmart SPA,Calama,0,0
SUMU,LAN,SUMU,LAN,2,1,1,Grupo LATAM,Montevideo,1,1
SCDA,LAN,SCDA,LAN,1,1,0,Grupo LATAM,Iquique,0,0
SAME,LAN,SAME,LAN,3,1,1,Grupo LATAM,Mendoza,1,1
SAEZ,LAN,SAEZ,LAN,2,1,1,Grupo LATAM,Buenos Aires,1,1
SPJC,LAN,SPJC,LPE,3,1,1,Grupo LATAM,Lima,0,1
SCCF,SKU,SCCF,SKU,2,1,0,Sky Airline,Calama,1,0
SCSE,LAN,SCSE,LXP,2,1,0,Grupo LATAM,La Serena,0,0
SCCF,LAN,SCCF,LXP,1,1,0,Grupo LATAM,Calama,0,0
SEGU,LAN,SEGU,LNE,1,1,1,Grupo LATAM,Guayaquil,0,0
LEMD,IBE,LEMD,IBE,2,0,1,Iberia,Madrid,0,1
KIAH,UAL,KIAH,UAL,1,0,1,United Airlines,Houston,0,0
SABE,LAN,SABE,LAN,1,0,1,Grupo LATAM,Buenos Aires,0,1
SCCI,LAN,SCCI,LAN,3,1,0,Grupo LATAM,Punta Arenas,1,0
SABE,ARG,SABE,ARG,2,0,1,Aerolineas Argentinas,Buenos Aires,1,1
SACO,SKU,SACO,SKU,1,0,1,Sky Airline,Cordoba,0,0
SABE,ARG,SABE,ARG,3,0,1,Aerolineas Argentinas,Buenos Aires,0,0
SCCF,SKU,SCCF,SKU,3,0,0,Sky Airline,Calama,1,1
SKBO,AVA,SKBO,AVA,2,0,1,Avianca,Bogota,1,0
KJFK,LAN,KJFK,LAN,1,0,1,Grupo LATAM,Nueva York,0,0
SPJC,SKU,SPJC,SKU,2,1,1,Sky Airline,Lima,1,1
SCAR,LAN,SCAR,LAN,3,1,0,Grupo LATAM,Arica,0,0
SCFA,SKU,SCFA,SKU,1,0,0,Sky Airline,Antofagasta,0,1
SABE,LAN,SABE,LAN,2,1,1,Grupo LATAM,Buenos Aires,1,1
SCCF,SKU,SCCF,SKU,1,1,0,Sky Airline,Calama,0,0
SCTE,LAN,SCTE,LXP,2,0,0,Grupo LATAM,Puerto Montt,0,0
SCCF,LAN,SCCF,LXP,3,0,0,Grupo LATAM,Calama,0,0
KJFK,LAN,KJFK,LAN,2,0,1,Grupo LATAM,Nueva York,1,0
SCIE,LAN,SCIE,LXP,2,1,0,Grupo LATAM,Concepcion,1,1
SCQP,LAN,SCQP,LXP,2,1,0,Grupo LATAM,Temuco,0,0
SCVD,SKU,SCVD,SKU,3,1,0,Sky Airline,Valdivia,1,1
SCIE,LAW,SCIE,JMR,2,1,0,Latin American Wings,Concepcion,1,1
SCIE,LAW,SCIE,JMR,3,1,0,Latin American Wings,Concepcion,0,1
SCTE,LAN,SCTE,LXP,3,0,0,Grupo LATAM,Puerto Montt,1,1
SLVR,LAN,SLVR,LAN,3,0,1,Grupo LATAM,Santa Cruz,0,0
SCQP,LAN,SCQP,LXP,2,0,0,Grupo LATAM,Temuco,1,0
SCFA,SKU,SCFA,SKU,2,1,0,Sky Airline,Antofagasta,0,1
SKBO,AVA,SKBO,AVA,3,0,1,Avianca,Bogota,0,0
SUMU,LAN,SUMU,LAN,1,1,1,Grupo LATAM,Montevideo,0,0
SCFA,SKU,SCFA,SKU,3,0,0,Sky Airline,Antofagasta,0,1
SBGL,TAM,SBGL,TAM,2,1,1,Grupo LATAM,Rio de Janeiro,0,1
SCDA,LAN,SCDA,LAN,2,1,0,Grupo LATAM,Iquique,1,0
SBGR,LAN,SBGR,LAN,1,0,1,Grupo LATAM,Sao Paulo,0,1
NZAA,LAN,NZAA,LAN,2,1,1,Grupo LATAM,Auckland N.Z.,1,0
SBGL,TAM,SBGL,TAM,1,0,1,Grupo LATAM,Rio de Janeiro,0,0
SAEZ,LAN,SAEZ,LAN,1,1,1,Grupo LATAM,Buenos Aires,0,1
SCQP,LAN,SCQP,LXP,2,1,0,Grupo LATAM,Temuco,1,0
MPTO,CMP,MPTO,CMP,2,0,1,Copa Air,Ciudad de Panama,1,0
SCAR,LAN,SCAR,LXP,3,0,0,Grupo LATAM,Arica,0,1
SCIE,LAN,SCIE,LAN,1,0,0,Grupo LATAM,Concepcion,0,0
SCIE,JMR,SCIE,JMR,1,0,0,Latin American Wings,Concepcion,0,0
SBGL,TAM,SBGL,TAM,3,0,1,Grupo LATAM,Rio de Janeiro,1,0
SPJC,LAN,SPJC,LPE,2,0,1,Grupo LATAM,Lima,0,0
SABE,LAN,SABE,LAN,3,1,1,Grupo LATAM,Buenos Aires,0,1
SCIE,LAW,SCIE,JMR,3,1,0,Latin American Wings,Concepcion,0,1
SCIE,LAN,SCIE,LXP,2,0,0,Grupo LATAM,Concepcion,0,0
SCCF,LAN,SCCF,LXP,3,0,0,Grupo LATAM,Calama,0,0
SPJC,LAN,SPJC,LPE,3,1,1,Grupo LATAM,Lima,0,1
SCAR,LAN,SCAR,LXP,1,0,0,Grupo LATAM,Arica,0,0
SCPQ,LAN,SCPQ,LAN,3,0,0,Grupo LATAM,Castro (Chiloe),1,0
SCSE,SKU,SCSE,SKU,3,0,0,Sky Airline,La Serena,0,0
SCFA,SKU,SCFA,SKU,1,1,0,Sky Airline,Antofagasta,0,0
SCTE,LAN,SCTE,LAN,2,0,0,Grupo LATAM,Puerto Montt,1,1
SCCF,JAT,SCCF,JAT,2,0,0,JetSmart SPA,Calama,0,1
SCTE,LAN,SCTE,LXP,3,1,0,Grupo LATAM,Puerto Montt,0,1
SCCF,LAN,SCCF,LAN,3,0,0,Grupo LATAM,Calama,1,1
SAEZ,LAN,SAEZ,LAN,1,0,1,Grupo LATAM,Buenos Aires,0,0
SCDA,LAN,SCDA,LAN,3,0,0,Grupo LATAM,Iquique,0,0
SCCF,JAT,SCCF,JAT,3,1,0,JetSmart SPA,Calama,0,1
SCAT,LAN,SCAT,LXP,3,0,0,Grupo LATAM,Copiapo,0,0
SBGR,TAM,SBGR,TAM,3,0,1,Grupo LATAM,Sao Paulo,0,0
SCCF,LAN,SCCF,LXP,3,0,0,Grupo LATAM,Calama,0,0
SBGL,LAN,SBGL,LAN,2,1,1,Grupo LATAM,Rio de Janeiro,1,1
SBGR,LAN,SBGR,LAN,3,1,1,Grupo LATAM,Sao Paulo,1,1
SCQP,SKU,SCQP,SKU,1,0,0,Sky Airline,Temuco,0,0
SPJC,LRC,SPJC,LRC,3,0,1,other,Lima,1,1
SEGU,LAN,SEGU,LNE,1,0,1,Grupo LATAM,Guayaquil,0,0
SKBO,AVA,SKBO,AVA,3,0,1,Avianca,Bogota,0,0
SAME,LAN,SAME,LAN,3,1,1,Grupo LATAM,Mendoza,0,1
LEMD,IBE,LEMD,IBE,1,1,1,Iberia,Madrid,0,0
SCAT,SKU,SCAT,SKU,2,0,0,Sky Airline,Copiapo,1,1
SCTE,SKU,SCTE,SKU,2,0,0,Sky Airline,Puerto Montt,1,1
KLAX,LAN,KLAX,LAN,1,1,1,Grupo LATAM,Los Angeles,0,0
KIAH,UAL,KIAH,UAL,2,0,1,United Airlines,Houston,1,0
SCDA,LAN,SCDA,LAN,2,1,0,Grupo LATAM,Iquique,0,0
SCFA,LAN,SCFA,LXP,3,1,0,Grupo LATAM,Antofagasta,1,0
SCCF,LAN,SCCF,LAN,3,0,0,Grupo LATAM,Calama,1,1
SCCF,LAN,SCCF,LXP,2,1,0,Grupo LATAM,Calama,0,1
SABE,LAN,SABE,DSM,2,0,1,Grupo LATAM,Buenos Aires,1,1
KJFK,LAN,KJFK,LAN,2,0,1,Grupo LATAM,Nueva York,1,0
